State/UT,FDI_2019,FDI_2020,FDI_2021,FTA_2019,FTA_2020,FTA_2021,Population_2021
Andhra Pradesh,200.97,85.85,224.96,280356,67591,27600,53903393
Arunachal Pradesh,0.61,4.95,NA ,7825,961,200,1570458
Assam,2.93,11.19,4.40,26878,7285,500,35607039
Bihar,5.54,45.08,116.47,1093141,308080,1000,124799926
Chandigarh,3.58,10.03,51.37,44132,12218,5500,1170000
Chhattisgarh,0.03,0.00,0.98,6817,2322,0,29436231
Dadra And Nagar Haveli And Daman And Diu,2.94,5.03,142.07,7369,1604,200,615724
Delhi,3998.49,5471.05,8189.35,2983436,681230,100200,19814000
Goa,64.93,16.33,37.12,937113,302751,22100,1586250
Gujarat,2591.40,21890.17,2705.52,595607,210047,11300,67936286
Haryana,726.93,1697.01,2798.48,48046,17474,4600,28672000
Himachal Pradesh,11.91,10.92,137.99,382876,42665,4900,7300000
Jammu And Kashmir,NA ,0.21,0.15,57920,5317,1700,13600000
Jharkhand,1852.04,792.06,6.43,176043,490,1600,38593948
Karnataka,4288.98,7670.49,22071.94,608754,165325,72500,67562686
Kerala,57.41,212.27,347.77,1189771,340755,60500,35699443
Ladakh,NA ,0.03,0.14,38652,1126,1100,300000
Madhya Pradesh,75.69,206.63,208.53,327958,99819,41600,85002417
Maharashtra,7556.25,16169.79,15438.63,5528704,1262409,185600,123144223
Manipur,NA ,NA ,NA ,13608,3139,600,3091545
Meghalaya,NA ,NA ,1.10,25813,2311,400,3366710
Nagaland,NA ,NA ,0.01,5577,518,300,2249695
Odisha,13.05,19.76,95.33,115128,10206,2300,46356334
Puducherry,0.45,58.21,0.19,149919,92080,300,1646056
Punjab,96.77,644.46,127.01,1101343,359114,308100,30141373
Rajasthan,189.18,272.22,707.09,1605560,446457,34800,81032689
Tamil Nadu,1006.07,2323.46,3003.16,6866327,1228323,57600,77841267
Telangana,679.86,1155.49,1606.89,323326,46694,5900,39362732
Tripura,NA ,0.43,0.13,154405,31877,0,4169794
Uttar Pradesh,242.87,421.79,216.97,4745181,890932,44700,237882725
Uttarakhand,14.69,5.30,103.99,152273,41339,8500,11250858
West Bengal,190.76,415.37,427.77,1656145,463285,34800,99609303
