Region,Country,Number of Arrivals-2019,Number of Arrivals-2020,Number of Arrivals-2021,Percentage Share  - 2020/19,Percentage Change - 2021/20,Percentage Change - 2021,Year,"Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
North America,Canada,351859,122868.0,80437,-65.1,-34.5,5.27,"Calendar Year (Jan - Dec), 2021",52.32
North America,Canada,351859,122868.0,80437,-65.1,-34.5,5.27,"Calendar Year (Jan - Dec), 2020",41.6
North America,Canada,351859,122868.0,80437,-65.1,-34.5,5.27,"Calendar Year (Jan - Dec), 2019",27.1
Central and South America,Argentina,12844,4294.0,530,-66.6,-87.7,0.03,"Calendar Year (Jan - Dec), 2021",56.39
Central and South America,Argentina,12844,4294.0,530,-66.6,-87.7,0.03,"Calendar Year (Jan - Dec), 2020",23.6
Central and South America,Argentina,12844,4294.0,530,-66.6,-87.7,0.03,"Calendar Year (Jan - Dec), 2019",18.1
Central and South America,Brazil,25422,8092.0,2055,-68.2,-74.6,0.13,"Calendar Year (Jan - Dec), 2021",50.07
Central and South America,Brazil,25422,8092.0,2055,-68.2,-74.6,0.13,"Calendar Year (Jan - Dec), 2020",23.8
Central and South America,Brazil,25422,8092.0,2055,-68.2,-74.6,0.13,"Calendar Year (Jan - Dec), 2019",17.9
Central and South America,Mexico,20766,4580.0,859,-77.9,-81.2,0.06,"Calendar Year (Jan - Dec), 2021",47.86
Central and South America,Mexico,20766,4580.0,859,-77.9,-81.2,0.06,"Calendar Year (Jan - Dec), 2020",20.6
Central and South America,Mexico,20766,4580.0,859,-77.9,-81.2,0.06,"Calendar Year (Jan - Dec), 2019",13.4
Central and South America,Others,39894,10002.0,3354,-74.9,-66.5,0.22,"Calendar Year (Jan - Dec), 2021",46.57
Central and South America,Others,39894,10002.0,3354,-74.9,-66.5,0.22,"Calendar Year (Jan - Dec), 2020",21.4
Central and South America,Others,39894,10002.0,3354,-74.9,-66.5,0.22,"Calendar Year (Jan - Dec), 2019",19.0
Western Europe,Austria,32332,9182.0,4411,-71.6,-52.0,0.29,"Calendar Year (Jan - Dec), 2021",29.78
Western Europe,Austria,32332,9182.0,4411,-71.6,-52.0,0.29,"Calendar Year (Jan - Dec), 2020",21.0
Western Europe,Austria,32332,9182.0,4411,-71.6,-52.0,0.29,"Calendar Year (Jan - Dec), 2019",16.8
Western Europe,Belgium,39263,11022.0,7382,-71.9,-33.0,0.48,"Calendar Year (Jan - Dec), 2021",31.32
Western Europe,Belgium,39263,11022.0,7382,-71.9,-33.0,0.48,"Calendar Year (Jan - Dec), 2020",24.4
Western Europe,Belgium,39263,11022.0,7382,-71.9,-33.0,0.48,"Calendar Year (Jan - Dec), 2019",17.5
Western Europe,Denmark,26492,8252.0,2025,-68.9,-75.5,0.13,"Calendar Year (Jan - Dec), 2021",31.87
Western Europe,Denmark,26492,8252.0,2025,-68.9,-75.5,0.13,"Calendar Year (Jan - Dec), 2020",18.4
Western Europe,Denmark,26492,8252.0,2025,-68.9,-75.5,0.13,"Calendar Year (Jan - Dec), 2019",13.8
Western Europe,Finland,18945,4310.0,1329,-77.2,-69.2,0.09,"Calendar Year (Jan - Dec), 2021",32.8
Western Europe,Finland,18945,4310.0,1329,-77.2,-69.2,0.09,"Calendar Year (Jan - Dec), 2020",19.4
Western Europe,Finland,18945,4310.0,1329,-77.2,-69.2,0.09,"Calendar Year (Jan - Dec), 2019",13.1
Western Europe,France,247238,74243.0,30374,-70.0,-59.1,1.99,"Calendar Year (Jan - Dec), 2021",29.88
Western Europe,France,247238,74243.0,30374,-70.0,-59.1,1.99,"Calendar Year (Jan - Dec), 2020",21.9
Western Europe,France,247238,74243.0,30374,-70.0,-59.1,1.99,"Calendar Year (Jan - Dec), 2019",18.2
Western Europe,Germany,264973,72558.0,33772,-72.6,-53.5,2.21,"Calendar Year (Jan - Dec), 2021",24.8
Western Europe,Germany,264973,72558.0,33772,-72.6,-53.5,2.21,"Calendar Year (Jan - Dec), 2020",18.3
Western Europe,Germany,264973,72558.0,33772,-72.6,-53.5,2.21,"Calendar Year (Jan - Dec), 2019",14.2
Western Europe,Greece,10317,2854.0,1144,-72.3,-59.9,0.07,"Calendar Year (Jan - Dec), 2021",20.53
Western Europe,Greece,10317,2854.0,1144,-72.3,-59.9,0.07,"Calendar Year (Jan - Dec), 2020",17.0
Western Europe,Greece,10317,2854.0,1144,-72.3,-59.9,0.07,"Calendar Year (Jan - Dec), 2019",11.9
Western Europe,Ireland,41183,9708.0,7600,-76.4,-21.7,0.5,"Calendar Year (Jan - Dec), 2021",34.69
Western Europe,Ireland,41183,9708.0,7600,-76.4,-21.7,0.5,"Calendar Year (Jan - Dec), 2020",23.5
Western Europe,Ireland,41183,9708.0,7600,-76.4,-21.7,0.5,"Calendar Year (Jan - Dec), 2019",18.6
Western Europe,Italy,128572,31186.0,13659,-75.7,-56.2,0.89,"Calendar Year (Jan - Dec), 2021",39.36
Western Europe,Italy,128572,31186.0,13659,-75.7,-56.2,0.89,"Calendar Year (Jan - Dec), 2020",23.3
Western Europe,Italy,128572,31186.0,13659,-75.7,-56.2,0.89,"Calendar Year (Jan - Dec), 2019",15.5
Western Europe,Netherlands,80313,26258.0,15631,-67.3,-40.5,1.02,"Calendar Year (Jan - Dec), 2021",19.92
Western Europe,Netherlands,80313,26258.0,15631,-67.3,-40.5,1.02,"Calendar Year (Jan - Dec), 2020",15.7
Western Europe,Netherlands,80313,26258.0,15631,-67.3,-40.5,1.02,"Calendar Year (Jan - Dec), 2019",14.4
Western Europe,Norway,21898,6224.0,2790,-71.6,-55.2,0.18,"Calendar Year (Jan - Dec), 2021",32.65
Western Europe,Norway,21898,6224.0,2790,-71.6,-55.2,0.18,"Calendar Year (Jan - Dec), 2020",20.5
Western Europe,Norway,21898,6224.0,2790,-71.6,-55.2,0.18,"Calendar Year (Jan - Dec), 2019",17.3
Western Europe,Portugal,74743,31005.0,32064,-58.5,3.4,2.18,"Calendar Year (Jan - Dec), 2021",38.58
Western Europe,Portugal,74743,31005.0,32064,-58.5,3.4,2.18,"Calendar Year (Jan - Dec), 2020",47.9
Western Europe,Portugal,74743,31005.0,32064,-58.5,3.4,2.18,"Calendar Year (Jan - Dec), 2019",27.0
Western Europe,Spain,83322,16335.0,6982,-80.4,-57.3,0.46,"Calendar Year (Jan - Dec), 2021",38.01
Western Europe,Spain,83322,16335.0,6982,-80.4,-57.3,0.46,"Calendar Year (Jan - Dec), 2020",26.0
Western Europe,Spain,83322,16335.0,6982,-80.4,-57.3,0.46,"Calendar Year (Jan - Dec), 2019",15.7
Western Europe,Sweden,42318,11992.0,5579,-71.7,-53.5,0.37,"Calendar Year (Jan - Dec), 2021",37.45
Western Europe,Sweden,42318,11992.0,5579,-71.7,-53.5,0.37,"Calendar Year (Jan - Dec), 2020",23.5
Western Europe,Sweden,42318,11992.0,5579,-71.7,-53.5,0.37,"Calendar Year (Jan - Dec), 2019",17.1
Western Europe,Switzerland,46826,12675.0,4198,-72.9,-66.9,0.27,"Calendar Year (Jan - Dec), 2021",25.83
Western Europe,Switzerland,46826,12675.0,4198,-72.9,-66.9,0.27,"Calendar Year (Jan - Dec), 2020",18.7
Western Europe,Switzerland,46826,12675.0,4198,-72.9,-66.9,0.27,"Calendar Year (Jan - Dec), 2019",15.2
Western Europe,Others,19414,4937.0,1767,-74.6,-64.2,0.12,"Calendar Year (Jan - Dec), 2021",26.48
Western Europe,Others,19414,4937.0,1767,-74.6,-64.2,0.12,"Calendar Year (Jan - Dec), 2020",23.5
Western Europe,Others,19414,4937.0,1767,-74.6,-64.2,0.12,"Calendar Year (Jan - Dec), 2019",14.0
Eastern Europe,Hungary,9788,2964.0,653,-69.7,-78.0,0.04,"Calendar Year (Jan - Dec), 2021",33.04
Eastern Europe,Hungary,9788,2964.0,653,-69.7,-78.0,0.04,"Calendar Year (Jan - Dec), 2020",18.5
Eastern Europe,Hungary,9788,2964.0,653,-69.7,-78.0,0.04,"Calendar Year (Jan - Dec), 2019",15.3
Eastern Europe,Kazakhstan,15709,5918.0,2378,-62.3,-59.8,0.16,"Calendar Year (Jan - Dec), 2021",16.2
Eastern Europe,Kazakhstan,15709,5918.0,2378,-62.3,-59.8,0.16,"Calendar Year (Jan - Dec), 2020",16.4
Eastern Europe,Kazakhstan,15709,5918.0,2378,-62.3,-59.8,0.16,"Calendar Year (Jan - Dec), 2019",14.4
Eastern Europe,Poland,33687,12161.0,2461,-63.9,-79.8,0.16,"Calendar Year (Jan - Dec), 2021",24.03
Eastern Europe,Poland,33687,12161.0,2461,-63.9,-79.8,0.16,"Calendar Year (Jan - Dec), 2020",15.1
Eastern Europe,Poland,33687,12161.0,2461,-63.9,-79.8,0.16,"Calendar Year (Jan - Dec), 2019",13.6
