State,Year,Merch_Index,FDI_Index,Tourism_Index,GII,Population
Andhra Pradesh,2019,0.061,0.003,0.026,0.030,53903393
Andhra Pradesh,2020,0.062,0.002,0.024,0.029,53903393
Andhra Pradesh,2021,0.049,0.003,0.018,0.023,53903393
Dadra And Nagar Haveli,2019,0.032,0.005,0.001,0.013,615724
Dadra And Nagar Haveli,2020,0.050,0.006,0.001,0.019,615724
Dadra And Nagar Haveli,2021,0.026,0.012,0.000,0.013,615724
Gujarat,2019,0.068,0.060,0.055,0.061,67936286
Gujarat,2020,0.040,0.210,0.076,0.109,67936286
Gujarat,2021,0.062,0.028,0.007,0.032,67936286
Haryana,2019,0.032,0.017,0.004,0.018,28672000
Haryana,2020,0.050,0.030,0.006,0.029,28672000
Haryana,2021,0.026,0.035,0.003,0.021,28672000
Karnataka,2019,0.046,0.074,0.056,0.059,67562686
Karnataka,2020,0.054,0.085,0.060,0.066,67562686
Karnataka,2021,0.030,0.170,0.047,0.082,67562686
Maharashtra,2019,0.049,0.131,0.509,0.230,123144223
Maharashtra,2020,0.096,0.178,0.460,0.245,123144223
Maharashtra,2021,0.101,0.119,0.120,0.113,123144223
Odisha,2019,0.069,0.001,0.011,0.027,46356334
Odisha,2020,0.042,0.001,0.004,0.016,46356334
Odisha,2021,0.073,0.002,0.001,0.025,46356334
Rajasthan,2019,0.068,0.004,0.147,0.073,81032689
Rajasthan,2020,0.040,0.003,0.163,0.069,81032689
Rajasthan,2021,0.062,0.009,0.023,0.031,81032689
Tamil Nadu,2019,0.010,0.019,0.628,0.219,77841267
Tamil Nadu,2020,0.009,0.030,0.447,0.162,77841267
Tamil Nadu,2021,0.007,0.023,0.037,0.022,77841267
Uttar Pradesh,2019,0.046,0.001,0.434,0.160,237882725
Uttar Pradesh,2020,0.054,0.001,0.324,0.126,237882725
Uttar Pradesh,2021,0.030,0.001,0.029,0.020,237882725
West Bengal,2019,0.068,0.002,0.151,0.074,99609303
West Bengal,2020,0.040,0.003,0.168,0.070,99609303
West Bengal,2021,0.062,0.003,0.023,0.029,99609303
