Year,Region,Country,"Nationality Wise Number Of Foreign Tourists Arrivals (Ftas) In India (UOM:Number), Scaling Factor:1","Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2023",North America,Canada,385938.0,40.9
"Calendar Year (Jan - Dec), 2023",North America,Others,4.0,9.3
"Calendar Year (Jan - Dec), 2023",North America,United States Of America,1691498.0,31.0
"Calendar Year (Jan - Dec), 2023",Western Europe,Austria,27420.0,21.1
"Calendar Year (Jan - Dec), 2023",Western Europe,Belgium,36158.0,22.0
"Calendar Year (Jan - Dec), 2023",Western Europe,Denmark,20200.0,16.4
"Calendar Year (Jan - Dec), 2023",Western Europe,Finland,12241.0,17.8
"Calendar Year (Jan - Dec), 2023",Western Europe,France,188981.0,21.0
"Calendar Year (Jan - Dec), 2023",Western Europe,Germany,223575.0,17.8
"Calendar Year (Jan - Dec), 2023",Western Europe,Greece,9206.0,14.5
"Calendar Year (Jan - Dec), 2023",Western Europe,Ireland,39166.0,23.5
"Calendar Year (Jan - Dec), 2023",Western Europe,Italy,116031.0,20.8
"Calendar Year (Jan - Dec), 2023",Western Europe,Netherlands,82047.0,17.3
"Calendar Year (Jan - Dec), 2023",Western Europe,Norway,20057.0,22.2
"Calendar Year (Jan - Dec), 2023",Western Europe,Others,14086.0,16.8
"Calendar Year (Jan - Dec), 2023",Western Europe,Portugal,81916.0,35.0
"Calendar Year (Jan - Dec), 2023",Western Europe,Spain,73412.0,18.4
"Calendar Year (Jan - Dec), 2023",Western Europe,Sweden,36007.0,24.3
"Calendar Year (Jan - Dec), 2023",Western Europe,Switzerland,41004.0,18.0
"Calendar Year (Jan - Dec), 2023",Western Europe,United Kingdom,920591.0,24.0
"Calendar Year (Jan - Dec), 2023",Eastern Europe,Czech,11656.0,17.5
"Calendar Year (Jan - Dec), 2023",Eastern Europe,Hungary,8156.0,16.3
"Calendar Year (Jan - Dec), 2023",Eastern Europe,Kazakhstan,22342.0,14.8
"Calendar Year (Jan - Dec), 2023",Eastern Europe,Others,98867.0,18.8
"Calendar Year (Jan - Dec), 2023",Eastern Europe,Poland,35457.0,13.5
"Calendar Year (Jan - Dec), 2023",Eastern Europe,Russian Federation,164125.0,27.5
"Calendar Year (Jan - Dec), 2023",Eastern Europe,Ukraine,11502.0,30.0
"Calendar Year (Jan - Dec), 2023",Africa,Egypt,15909.0,9.6
"Calendar Year (Jan - Dec), 2023",Africa,Kenya,49574.0,25.3
"Calendar Year (Jan - Dec), 2023",Africa,Mauritius,40442.0,16.8
"Calendar Year (Jan - Dec), 2023",Africa,Nigeria,11466.0,49.8
"Calendar Year (Jan - Dec), 2023",Africa,Others,129562.0,35.6
"Calendar Year (Jan - Dec), 2023",Africa,South Africa,41969.0,19.4
"Calendar Year (Jan - Dec), 2023",Africa,Sudan,14791.0,40.9
"Calendar Year (Jan - Dec), 2023",Africa,Tanzania,26790.0,30.5
"Calendar Year (Jan - Dec), 2023",South Asia,Afghanistan,1204.0,37.1
"Calendar Year (Jan - Dec), 2023",South Asia,Bangladesh,2119826.0,15.4
"Calendar Year (Jan - Dec), 2023",South Asia,Bhutan,35123.0,13.2
"Calendar Year (Jan - Dec), 2023",South Asia,Iran,18733.0,24.2
"Calendar Year (Jan - Dec), 2023",South Asia,Maldives,83776.0,17.0
"Calendar Year (Jan - Dec), 2023",South Asia,Nepal,195445.0,25.7
"Calendar Year (Jan - Dec), 2023",South Asia,Pakistan,28329.0,76.4
"Calendar Year (Jan - Dec), 2023",South Asia,Sri Lanka,280327.0,12.9
"Calendar Year (Jan - Dec), 2023",South East Asia,Indonesia,32677.0,15.6
"Calendar Year (Jan - Dec), 2023",South East Asia,Malaysia,262458.0,11.9
"Calendar Year (Jan - Dec), 2023",South East Asia,Myanmar (Burma),51235.0,14.5
"Calendar Year (Jan - Dec), 2023",South East Asia,Others,10680.0,21.6
"Calendar Year (Jan - Dec), 2023",South East Asia,Phillippines,50064.0,15.4
"Calendar Year (Jan - Dec), 2023",South East Asia,Singapore,183772.0,12.6
"Calendar Year (Jan - Dec), 2023",South East Asia,Thailand,116060.0,18.5
"Calendar Year (Jan - Dec), 2023",South East Asia,Vietnam,57284.0,10.6
