Sl. No,State/UT,2019-20 (From October 2019),2020-21,2021-22,2022-23,2023-24,2024-25 (Till December 2024)
1,Maharashtra,7556.25,16169.79,15438.63,14806.39,15115.54,16650.81
2,Karnataka,4288.98,7670.49,22071.94,10429.37,6570.62,4496.47
3,Gujarat,2591.4,21890.17,2705.52,4713.87,7300.45,5565.53
4,Delhi,3998.49,5471.05,8189.35,7534.15,6523.43,4452.9
5,Tamil Nadu,1006.07,2323.46,3003.16,2168.96,2436.33,2902.92
6,Haryana,726.93,1697.01,2798.48,2599.57,1907.79,2842.52
7,Telangana,679.86,1155.49,1606.89,1302.57,3029.07,2071.06
8,Jharkhand,1852.04,792.06,6.43,5.62,10.95,0.01
9,Rajasthan,189.18,272.22,707.09,909.81,265.43,284.17
10,Uttar Pradesh,242.87,421.79,216.97,419.72,333.61,306.85
11,West Bengal,190.76,415.37,427.77,394.28,181.49,184.41
12,Kerala,57.41,212.27,347.77,164.54,196.7,385.04
13,Punjab,96.77,644.46,127.01,93.55,180.08,67.55
14,Andhra Pradesh,200.97,85.85,224.96,284.22,92.13,223.18
15,Madhya Pradesh,75.69,206.63,208.53,39.04,23.59,49.2
16,Himachal Pradesh,11.91,10.92,137.99,34.04,55.55,77.94
17,Uttarakhand,14.69,5.3,103.99,2.88,60.13,30.52
18,Bihar,5.54,45.08,116.47,47.37,0.16,1.13
19,Goa,64.93,16.33,37.12,11.73,35.1,16.95
20,Dadra and Nagar Haveli and Daman and Diu,2.94,5.03,142.07,17.56,9.24,2.45
21,Odisha,13.05,19.76,95.33,31.63,8.79,4.24
22,Chandigarh,3.58,10.03,51.37,13.46,30.88,1.99
23,Chhattisgarh,0.03,0,0.98,2.37,50.5,43.43
24,Puducherry,0.45,58.21,0.19,4.44,4.76,1.67
25,State Not Indicated,7.01,19.93,1.32,NA,0.62,4.04
26,Assam,2.93,11.19,4.4,2.09,0.23,2.36
27,Arunachal Pradesh,0.61,4.95,NA,NA,NA,1.47
28,Jammu and Kashmir,NA,0.21,0.15,0.72,0,0.25
29,Tripura,NA,0.43,0.13,NA,0.19,0.47
30,Meghalaya,NA,NA,1.1,NA,0,0.11
31,Ladakh,NA,0.03,0.14,0.06,NA,NA
32,Nagaland,NA,NA,0.01,NA,NA,0.05
33,Manipur,NA,NA,NA,0,NA,NA
Total,Total,23881.34,59635.54,58773.27,46034.05,44423.35,40671.65
