Sl. No.,Sector,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
1,"Services Sector (Fin., Banking, Insurance, Non Fin/Business, Outsourcing, R and D, Courier, Tech. Testing and Analysis, Other)",7852.95,5060.22,7131.44,8706.93,6640.24,5692
2,Computer Software and Hardware,7673.32,26144.69,14461.35,9394.22,7972.79,4192.78
3,Trading,4573.82,2608.22,4537.59,4792.28,3864.88,2722.28
4,Telecommunications,4445.16,392.11,668.14,712.95,281.66,670.03
5,Automobile Industry,2824.03,1637.44,6993.55,1902.21,1524.22,943.59
6,Construction (infrastructure) Activities,2041.72,7874.54,3247.51,1703.4,4232.16,1324.37
7,"Construction Development Townships, housing, built-up infrastructure and construction-development projects",616.54,422.09,124.99,146.62,254.65,152.89
8,Drugs and Pharmaceuticals,517.79,1490.49,1414.24,2058.42,1064.22,519.9
9,Chemicals (other Than Fertilizers),1057.51,847.07,965.78,1850.01,843.97,726.76
10,Non-conventional Energy,1393.39,797.21,1600.93,2499.99,3764.06,2095.96
11,Power,672.16,373.63,525.66,697.92,1701.5,1273.03
12,Hotel and Tourism,2937.79,368.96,729.08,328.04,511.1,897.8
13,Metallurgical Industries,2100.65,1340.47,2272.35,218.59,286.21,542.87
14,Miscellaneous Industries,839,767.52,492.91,409.94,462.25,403.93
15,Food Processing Industries,904.7,393.41,709.71,895.84,608.31,368.37
16,Electrical Equipments,572.01,1411.95,683.7,909.11,1049.37,221.73
17,Information and Broadcasting (including Print Media),823.4,313.89,152.27,465.61,852.91,421.95
18,Hospital and Diagnostic Centres,634.73,501.16,697.5,809.6,1530.06,931.45
19,Consultancy Services,1046.8,938.44,1150.4,605.43,734.65,967.38
20,Education,766.15,1250.37,3228.68,1443.24,344.01,113.88
21,Petroleum and Natural Gas,805.76,102.77,56.41,107.55,32.58,11.15
22,Cement and Gypsum Products,5.1,3.78,204.41,1.89,613.44,1806.09
23,Industrial Machinery,424.63,253.33,320.66,260.88,406.52,362.59
24,Sea Transport,198.58,294.2,393.81,529.8,1095.81,50.86
25,Electronics,422.37,375.31,417,539.98,695.74,839.56
26,Retail Trading,471.84,1338.07,497.13,506.71,165.51,103.14
27,"Textiles (including Dyed,printed)",323.52,298.67,247.75,154.72,309.72,92.56
28,Miscellaneous Mechanical and Engineering Industries,54.36,64.1,411.17,103.58,284.37,25.09
29,Fermentation Industries,313.67,84.77,869.52,307.22,107,128.71
30,Air Transport (including Air Freight),918.3,204.1,584.83,215.73,97.38,74.05
31,Medical and Surgical Appliances,308.71,68.91,208.05,397.2,482.83,449.44
32,Rubber Goods,81.21,265.94,70.73,160.17,135.35,6.34
33,Mining,199.23,168.77,344.61,167.15,72.58,6.14
34,Prime Mover (other Than Electrical Generators),85.35,279.97,25.08,115.26,279,197.85
35,Agriculture Services,52.28,117.14,258.47,450.7,57.23,28.82
36,Printing of Books (including Litho Printing Industry),374.3,81.21,316.95,76.37,209.02,84.22
37,"Soaps, Cosmetics and Toilet Preparations",99.05,103.53,548.89,111.57,75.16,53.5
38,Agricultural Machinery,102.31,142.59,268.73,742.06,2.22,16.64
39,Paper and Pulp (including Paper Products),49.96,22.42,158.48,27.23,55.46,26.4
40,Ports,NA,NA,NA,NA,NA,NA
41,Railway Related Components,138.32,119.64,1.26,2.83,177.18,19.7
42,Glass,23.97,42.36,588.22,58.07,18.05,12.26
43,"Diamond, Gold Ornaments",18.87,13.83,22.22,25.5,37.97,45.71
44,Machine Tools,28.83,20.91,31.23,42.95,135.43,44.56
45,Vegetable Oils and Vanaspati,79.97,44.97,5.85,15.74,59.35,0.28
46,Ceramics,2.77,20.61,1.34,83.24,35.25,5.11
47,Fertilizers,9.12,17.89,6.07,9.34,9.07,6.56
48,Earth-moving Machinery,14.08,39.39,60.6,33.2,22.62,15.75
49,"Commercial, Office and Household Equipments",2.65,47.25,17.24,20.07,10.58,6.56
50,Scientific Instruments,23.23,9.42,7.57,70.33,70.54,23.24
51,Boilers and Steam Generating Plants,0.08,0.9,NA,NA,0.06,1.19
52,"Leather, Leather Goods and Pickers",12.6,8.89,7.15,33.11,49.06,10.95
53,Tea and Coffee (Processing and Warehousing Coffee and Rubber),6.88,8.65,3.09,71.22,10.28,17.72
54,Timber Products,12.62,5.89,20.45,22.24,8.89,14.7
55,Glue and Gelatin,2.76,0.74,4.56,9.6,72.07,16.62
56,Sugar,0.46,24.94,0.55,6.05,1.65,1.03
57,Dye-stuffs,5.14,4.44,2.94,1.15,1.1,0.01
58,Industrial Instruments,8.32,0.7,0.11,NA,NA,0.42
59,Photographic Raw Film and Paper,NA,NA,NA,NA,NA,NA
60,Coal Production,NA,NA,NA,NA,NA,NA
61,Defence Industries,2.2,0.63,2.36,3.27,4.09,1.87
62,"Mathematical, Surveying and Drawing Instruments",NA,NA,NA,NA,NA,NA
63,Coir,NA,NA,NA,NA,NA,NA
Total,Total,49977.05,59635.54,58773.27,46034.05,44423.35,29790.35
