State/UT,FTA_2018,FTA_2019,FTA_2020,FTA_2021,FTA_2022,Population_2021
A&N Island,15242,16206,5412,1700,4500,434192
Andhra Pradesh,281083,280356,67591,27600,165800,53903393
Arunachal Pradesh,7653,7825,961,200,1100,1570458
Assam,15592,26878,7285,500,9000,35607039
Bihar,1087971,1093141,308080,1000,86800,124799926
Chandigarh,39681,44132,12218,5500,28400,1170000
Chhattisgarh,14399,6817,2322,0,200,29436231
Dadra & Nagar Haveli and Daman & Diu,7302,7369,1604,200,1800,615724
Delhi,2740502,2983436,681230,100200,815700,19814000
Goa,933841,937113,302751,22100,174800,1586250
Gujarat,513113,595607,210047,11300,1777200,67936286
Haryana,73977,48046,17474,4600,2400,28672000
Himachal Pradesh,356568,382876,42665,4900,29300,7300000
Jammu & Kashmir,139520,57920,5317,1700,20000,13600000
Jharkhand,175801,176043,490,1600,192300,38593948
Karnataka,543716,608754,165325,72500,128500,67562686
Kerala,1096407,1189771,340755,60500,345500,35699443
Lakshadweep,1313,820,413,0,100,73183
Ladakh,,38652,1126,1100,21300,300000
Madhya Pradesh,375476,327958,99819,41600,204500,85002417
Maharashtra,5078514,5528704,1262409,185600,1511600,123144223
Manipur,6391,13608,3139,600,3900,3091545
Meghalaya,18114,25813,2311,400,7800,3366710
Mizoram,967,2249,265,200,2600,1239244
Nagaland,5010,5577,518,300,2900,2249695
Odisha,110818,115128,10206,2300,22100,46356334
Puducherry,141133,149919,92080,300,900,1646056
Punjab,1200969,1101343,359114,308100,329500,30141373
Rajasthan,1754348,1605560,446457,34800,396700,81032689
Sikkim,71172,133388,19935,11500,68600,690251
Tamil Nadu,6074345,6866327,1228323,57600,407100,77841267
Telangana,318154,323326,46694,5900,68400,39362732
Tripura,102861,154405,31877,0,8500,4169794
Uttar Pradesh,3780752,4745181,890932,44700,649000,237882725
Uttarakhand,151320,152273,41339,8500,61600,11250858
West Bengal,1617105,1656145,463285,34800,1037000,99609303
