Sl. No.,Districts/ States,Top 5 Commodities,Products/Services identified with Export Potential,Value of Export (in US$ Million)
1,Jamnagar (Gujarat),1. Petroleum Products,"Jamnagari Bandhani, Brass Articles",19260.2
2,Jamnagar (Gujarat),2. Organic And Inorganic Chemicals,"Jamnagari Bandhani, Brass Articles",1794.57
3,Jamnagar (Gujarat),3. Plastic And Linoleum,"Jamnagari Bandhani, Brass Articles",410.54
4,Jamnagar (Gujarat),4. Engineering Goods,"Jamnagari Bandhani, Brass Articles",218.68
5,Jamnagar (Gujarat),"5. Mica, Coal And Other Ores, Minerals Including Process","Jamnagari Bandhani, Brass Articles",116.59
6,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,21800.58
7,Total export of District,Total export of District,Total export of District,22110.6
8,Surat (Gujarat),1. Gems And Jewellery,"Textile, Banana, Surat Zari Craft, Pomegranate",6872.54
9,Surat (Gujarat),2. Engineering Goods,"Textile, Banana, Surat Zari Craft, Pomegranate",1262.74
10,Surat (Gujarat),3. Man-Made Yarn/Fabs./Madeups Etc.,"Textile, Banana, Surat Zari Craft, Pomegranate",336.75
11,Surat (Gujarat),4. Organic And Inorganic Chemicals,"Textile, Banana, Surat Zari Craft, Pomegranate",255.52
12,Surat (Gujarat),"5. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.","Textile, Banana, Surat Zari Craft, Pomegranate",191.04
13,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,8918.59
14,Total export of District,Total export of District,Total export of District,9693.91
15,Mumbai (Maharashtra),1. Gems And Jewellery,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Legal Services, Transport and Logistics Services, Management consulting services",3363.15
16,Mumbai (Maharashtra),2. Engineering Goods,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Legal Services, Transport and Logistics Services, Management consulting services",1604.98
17,Mumbai (Maharashtra),3. Petroleum Products,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Legal Services, Transport and Logistics Services, Management consulting services",582.94
18,Mumbai (Maharashtra),4. Rmg Of All Textiles,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Legal Services, Transport and Logistics Services, Management consulting services",536.04
19,Mumbai (Maharashtra),5. Organic And Inorganic Chemicals,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Legal Services, Transport and Logistics Services, Management consulting services",265.67
20,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,6352.78
21,Total export of District,Total export of District,Total export of District,7823.18
22,Mumbai Suburban (Maharashtra),1. Gems And Jewellery,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",6745.53
23,Mumbai Suburban (Maharashtra),2. Engineering Goods,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",465.91
24,Mumbai Suburban (Maharashtra),3. Rmg Of All Textiles,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",85.17
25,Mumbai Suburban (Maharashtra),4. Organic And Inorganic Chemicals,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",83.79
26,Mumbai Suburban (Maharashtra),"5. Meat, Dairy And Poultry Products","Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",74.47
27,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,7454.87
28,Total export of District,Total export of District,Total export of District,7717.53
29,Pune (Maharashtra),1. Engineering Goods,"Purandhar Fig, Automobile and Engineering Goods, Agriculture products, Pharmaceuticals, Electronics products, Pomegranate, Grapes",3528.83
30,Pune (Maharashtra),2. Drugs And Pharmaceuticals,"Purandhar Fig, Automobile and Engineering Goods, Agriculture products, Pharmaceuticals, Electronics products, Pomegranate, Grapes",464.78
31,Pune (Maharashtra),3. Electronic Goods,"Purandhar Fig, Automobile and Engineering Goods, Agriculture products, Pharmaceuticals, Electronics products, Pomegranate, Grapes",366.04
32,Pune (Maharashtra),4. Organic And Inorganic Chemicals,"Purandhar Fig, Automobile and Engineering Goods, Agriculture products, Pharmaceuticals, Electronics products, Pomegranate, Grapes",215.47
33,Pune (Maharashtra),5. Plastic And Linoleum,"Purandhar Fig, Automobile and Engineering Goods, Agriculture products, Pharmaceuticals, Electronics products, Pomegranate, Grapes",87.61
34,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,4662.73
35,Total export of District,Total export of District,Total export of District,5392.86
36,Bharuch (Gujarat),1. Organic And Inorganic Chemicals,"Chemicals, Banana",2268.54
37,Bharuch (Gujarat),2. Engineering Goods,"Chemicals, Banana",810.39
38,Bharuch (Gujarat),3. Plastic And Linoleum,"Chemicals, Banana",570.46
39,Bharuch (Gujarat),4. Drugs And Pharmaceuticals,"Chemicals, Banana",406.06
40,Bharuch (Gujarat),"5. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.","Chemicals, Banana",108.01
41,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,4163.46
42,Total export of District,Total export of District,Total export of District,4695.14
43,Kanchipuram (Tamil Nadu),1. Engineering Goods,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",3442.3
44,Kanchipuram (Tamil Nadu),2. Electronic Goods,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",653.98
45,Kanchipuram (Tamil Nadu),3. Drugs And Pharmaceuticals,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",105.03
46,Kanchipuram (Tamil Nadu),4. Rmg Of All Textiles,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",80.47
47,Kanchipuram (Tamil Nadu),5. Plastic And Linoleum,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",70.02
48,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,4351.8
49,Total export of District,Total export of District,Total export of District,4587.56
50,Ahmedabad (Gujarat),1. Drugs And Pharmaceuticals,"Pharma, Textile, Engineering, Plastics",1218.54
